,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,Date,result_numeric,lon,lat
54,https://environment.data.gov.uk/water-quality/sampling-point/SW-70630113/sample/3403213/observation/6396,SW-70630113,RIVER TEIGN 350M D/S NEW BRIDGE (FORMERLY CALLED D/S HEATHFIELD TIP),284869,76030,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-09 12:47:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7.6,NEPHELOMETRIC TURBIDITY UNITS,2020-03-09,7.6,-3.627217002289114,50.57263426341622
55,https://environment.data.gov.uk/water-quality/sampling-point/SW-70630127/sample/3403214/observation/6396,SW-70630127,RIVER TEIGN AT NEW BRIDGE,284889,76406,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-09 12:42:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7.3,NEPHELOMETRIC TURBIDITY UNITS,2020-03-09,7.3,-3.627051160170221,50.576018173105986
56,https://environment.data.gov.uk/water-quality/sampling-point/SW-70630207/sample/3403361/observation/6396,SW-70630207,NORTH TEIGN RIVER @ TEIGN-E-VER (U/S FORD) SCORHILL,265301,87021,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-11 11:29:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2,NEPHELOMETRIC TURBIDITY UNITS,2020-03-11,2.0,-3.907394969088602,50.66723194493475
57,https://environment.data.gov.uk/water-quality/sampling-point/SW-70630270/sample/3403373/observation/6396,SW-70630270,NORTH TEIGN RIVER AT GIDLEIGH PARK HOTEL,267767,87937,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-11 10:45:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,<1,NEPHELOMETRIC TURBIDITY UNITS,2020-03-11,,-3.872848076771475,50.67603066920508
58,https://environment.data.gov.uk/water-quality/sampling-point/SW-70631802/sample/3403576/observation/6396,SW-70631802,BEADON BROOK PRIOR TO RIVER TEIGN,284280,81700,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-16 09:12:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2,NEPHELOMETRIC TURBIDITY UNITS,2020-03-16,2.0,-3.637299181689228,50.623486462737084
59,https://environment.data.gov.uk/water-quality/sampling-point/SW-70641129/sample/3402997/observation/6396,SW-70641129,RIVER BOVEY AT BLACKALLER  NORTH BOVEY,273775,83732,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-04 10:07:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.8,NEPHELOMETRIC TURBIDITY UNITS,2020-03-04,2.8,-3.78642742553212,50.63956964404962
60,https://environment.data.gov.uk/water-quality/sampling-point/SW-70720104/sample/3403451/observation/6396,SW-70720104,RIVER DART AT TOTNES WEIR,280053,61222,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-12 09:47:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.5,NEPHELOMETRIC TURBIDITY UNITS,2020-03-12,2.5,-3.690435722001619,50.43855409511494
61,https://environment.data.gov.uk/water-quality/sampling-point/SW-70723535/sample/3403268/observation/6396,SW-70723535,WEST WEBBURN RIVER AT PONSWORTHY BRIDGE,270136,73925,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 13:02:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.1,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,2.1,-3.8344313832990773,50.550621736305025
62,https://environment.data.gov.uk/water-quality/sampling-point/SW-70724103/sample/3403277/observation/6396,SW-70724103,EAST DART RIVER AT CLAPPER BRIDGE  DARTMEET,267208,73224,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-10 12:43:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.2,NEPHELOMETRIC TURBIDITY UNITS,2020-03-10,1.2,-3.875487661468605,50.54366277892977
63,https://environment.data.gov.uk/water-quality/sampling-point/SW-72922205/sample/3404110/observation/6396,SW-72922205,WOOLLEIGH BROOK AT CASTLE HILL,252220,117140,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-03-19 14:07:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,18,NEPHELOMETRIC TURBIDITY UNITS,2020-03-19,18.0,-4.104497852590056,50.9347210724861
