,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,Date,result_numeric,lon,lat
0,https://environment.data.gov.uk/water-quality/sampling-point/SW-70420116/sample/3399126/observation/6396,SW-70420116,RIVER OTTER AT DOTTON MILL,308730,88570,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-14 10:11:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,57,NEPHELOMETRIC TURBIDITY UNITS,2020-01-14,57.0,-3.293450721357024,50.68959580568402
1,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540110/sample/3399619/observation/6396,SW-70540110,RIVER EXE AT TREWS WEIR  EXETER,292546,91506,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 11:36:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,8.6,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,8.6,-3.523339040364517,50.71322171537236
2,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540224/sample/3399466/observation/6396,SW-70540224,RIVER EXE AT THORVERTON GAUGING STATION,293608,101640,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-20 11:57:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5.9,NEPHELOMETRIC TURBIDITY UNITS,2020-01-20,5.9,-3.5112347793894534,50.80451671796794
3,https://environment.data.gov.uk/water-quality/sampling-point/SW-70620154/sample/3398585/observation/6396,SW-70620154,RIVER TEIGN AT PRESTON,285580,74543,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-09 11:21:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,15,NEPHELOMETRIC TURBIDITY UNITS,2020-01-09,15.0,-3.616723023181938,50.559406974335694
4,https://environment.data.gov.uk/water-quality/sampling-point/SW-70631918/sample/3399044/observation/6396,SW-70631918,KENNICK STREAM AT TOTTIFORD RESERVOIR SURFACE,281060,82710,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-10 15:32:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),POND / LAKE / RESERVOIR WATER,6396,Turbidity,1.7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-10,1.7,-3.68312403330609,50.631916753881946
5,https://environment.data.gov.uk/water-quality/sampling-point/SW-70720104/sample/3398362/observation/6396,SW-70720104,RIVER DART AT TOTNES WEIR,280053,61222,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-07 11:32:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.3,NEPHELOMETRIC TURBIDITY UNITS,2020-01-07,2.3,-3.690435722001619,50.43855409511494
6,https://environment.data.gov.uk/water-quality/sampling-point/SW-70826005/sample/3399368/observation/6396,SW-70826005,RIVER AVON AT HATCH,271427,47251,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-02 12:12:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5,NEPHELOMETRIC TURBIDITY UNITS,2020-01-02,5.0,-3.8070649306362068,50.31114490989055
7,https://environment.data.gov.uk/water-quality/sampling-point/SW-70920104/sample/3400607/observation/6396,SW-70920104,RIVER ERME AT SEQUER'S BRIDGE,263210,51880,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-30 12:32:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-30,7.0,-3.924080041261266,50.35090065778005
8,https://environment.data.gov.uk/water-quality/sampling-point/SW-72920121/sample/3399965/observation/6396,SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,247359,120917,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-24 10:13:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5.8,NEPHELOMETRIC TURBIDITY UNITS,2020-01-24,5.8,-4.175209091958923,50.9673936431822
9,https://environment.data.gov.uk/water-quality/sampling-point/SW-73020127/sample/3399623/observation/6396,SW-73020127,RIVER TAW AT CHAPELTON FOOTBRIDGE,258220,126100,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 12:57:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,6.7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,6.7,-4.0226637948416455,51.016749030650935
10,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030120/sample/3399435/observation/6396,SW-73030120,RIVER TAW AT TAW BRIDGE,267294,106589,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-20 13:38:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,4.3,NEPHELOMETRIC TURBIDITY UNITS,2020-01-20,4.3,-3.8862689240641832,50.843562392879285
11,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030169/sample/3399995/observation/6396,SW-73030169,"RIVER TAW BELOW ARLA FOODS DISCHARGE, N. TAWTON",265600,101709,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-24 16:02:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),RIVER / RUNNING SURFACE WATER,6396,Turbidity,4.4,NEPHELOMETRIC TURBIDITY UNITS,2020-01-24,4.4,-3.90852600483461,50.79931198752104
12,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030187/sample/3399994/observation/6396,SW-73030187,"ARLA FOODS (TAW VALLEY CREAMERY), NORTH TAWTON",265520,101400,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW),2020-01-24 15:05:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),ANY TRADE EFFLUENT,6396,Turbidity,3.6,NEPHELOMETRIC TURBIDITY UNITS,2020-01-24,3.6,-3.9095473125880313,50.796516260108135
13,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030189/sample/3399993/observation/6396,SW-73030189,"RIVER TAW ABOVE ARLA FOODS DISCHARGE, N. TAWTON",265631,101657,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-24 15:45:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),RIVER / RUNNING SURFACE WATER,6396,Turbidity,3.8,NEPHELOMETRIC TURBIDITY UNITS,2020-01-24,3.8,-3.908067329207924,50.79885182932913
14,https://environment.data.gov.uk/water-quality/sampling-point/SW-73080442/sample/3399624/observation/6396,SW-73080442,RIVER YEO (BARNSTAPLE) AT COLLARD BRIDGE,259552,135665,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 10:28:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,4.8,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,4.8,-4.007402215125219,51.10303324695874
15,https://environment.data.gov.uk/water-quality/sampling-point/SW-81231133/sample/3399626/observation/6396,SW-81231133,RIVER TAVY AT DENHAM BRIDGE,247699,67856,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 13:10:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.9,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,1.9,-4.148438148044896,50.49066359566926
16,https://environment.data.gov.uk/water-quality/sampling-point/SW-81241110/sample/3398301/observation/6396,SW-81241110,RIVER WALKHAM AT GRENOFEN BRIDGE,249007,70972,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-06 11:17:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,1.2,NEPHELOMETRIC TURBIDITY UNITS,2020-01-06,1.2,-4.131272838542394,50.51900520258495
17,https://environment.data.gov.uk/water-quality/sampling-point/SW-81250144/sample/3399627/observation/6396,SW-81250144,RIVER TAMAR AT GUNNISLAKE BRIDGE,243493,72436,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 12:31:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,6.3,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,6.3,-4.209607768602243,50.53071167919611
18,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271202/sample/3398303/observation/6396,SW-81271202,RIVER THRUSHEL AT TINHAY BRIDGE,239380,85380,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-06 09:14:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5.9,NEPHELOMETRIC TURBIDITY UNITS,2020-01-06,5.9,-4.273189696339088,50.645908533262215
19,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271225/sample/3399337/observation/6396,SW-81271225,RIVER THRUSHEL AT STOWFORD BRIDGE,242800,87350,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-16 12:28:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,67,NEPHELOMETRIC TURBIDITY UNITS,2020-01-16,67.0,-4.225693050552815,50.66454426805842
20,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271235/sample/3399338/observation/6396,SW-81271235,RIVER THRUSHEL D/S BREAZLE WATER,244649,89099,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-16 12:56:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,140,NEPHELOMETRIC TURBIDITY UNITS,2020-01-16,140.0,-4.200285986619573,50.680757548504666
21,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271593/sample/3399242/observation/6396,SW-81271593,RIVER WOLF AT WEEK'S MILL BRIDGE,244610,94230,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-15 13:31:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,15,NEPHELOMETRIC TURBIDITY UNITS,2020-01-15,15.0,-4.202998232761277,50.726854539484954
22,https://environment.data.gov.uk/water-quality/sampling-point/SW-70220159/sample/3401816/observation/6396,SW-70220159,RIVER AXE AT WHITFORD BRIDGE,326225,95420,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-24 12:15:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,13,NEPHELOMETRIC TURBIDITY UNITS,2020-02-24,13.0,-3.0471997671377955,50.753670668838694
23,https://environment.data.gov.uk/water-quality/sampling-point/SW-70420116/sample/3401592/observation/6396,SW-70420116,RIVER OTTER AT DOTTON MILL,308730,88570,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-18 11:10:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,20,NEPHELOMETRIC TURBIDITY UNITS,2020-02-18,20.0,-3.293450721357024,50.68959580568402
24,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540110/sample/3401595/observation/6396,SW-70540110,RIVER EXE AT TREWS WEIR  EXETER,292546,91506,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-18 10:11:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,33,NEPHELOMETRIC TURBIDITY UNITS,2020-02-18,33.0,-3.523339040364517,50.71322171537236
25,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540224/sample/3400730/observation/6396,SW-70540224,RIVER EXE AT THORVERTON GAUGING STATION,293608,101640,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-04 10:36:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,8.5,NEPHELOMETRIC TURBIDITY UNITS,2020-02-04,8.5,-3.5112347793894534,50.80451671796794
26,https://environment.data.gov.uk/water-quality/sampling-point/SW-70620154/sample/3401492/observation/6396,SW-70620154,RIVER TEIGN AT PRESTON,285580,74543,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-14 09:57:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,30,NEPHELOMETRIC TURBIDITY UNITS,2020-02-14,30.0,-3.616723023181938,50.559406974335694
27,https://environment.data.gov.uk/water-quality/sampling-point/SW-70630207/sample/3400860/observation/6396,SW-70630207,NORTH TEIGN RIVER @ TEIGN-E-VER (U/S FORD) SCORHILL,265301,87021,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-06 13:00:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,<1,NEPHELOMETRIC TURBIDITY UNITS,2020-02-06,,-3.907394969088602,50.66723194493475
28,https://environment.data.gov.uk/water-quality/sampling-point/SW-70720104/sample/3401832/observation/6396,SW-70720104,RIVER DART AT TOTNES WEIR,280053,61222,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-24 11:15:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,3,NEPHELOMETRIC TURBIDITY UNITS,2020-02-24,3.0,-3.690435722001619,50.43855409511494
29,https://environment.data.gov.uk/water-quality/sampling-point/SW-70826005/sample/3404620/observation/6396,SW-70826005,RIVER AVON AT HATCH,271427,47251,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-25 12:50:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,3.4,NEPHELOMETRIC TURBIDITY UNITS,2020-02-25,3.4,-3.8070649306362068,50.31114490989055
30,https://environment.data.gov.uk/water-quality/sampling-point/SW-70920104/sample/3401803/observation/6396,SW-70920104,RIVER ERME AT SEQUER'S BRIDGE,263210,51880,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-24 13:47:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,38,NEPHELOMETRIC TURBIDITY UNITS,2020-02-24,38.0,-3.924080041261266,50.35090065778005
31,https://environment.data.gov.uk/water-quality/sampling-point/SW-72920121/sample/3402381/observation/6396,SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,247359,120917,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-27 11:45:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,81,NEPHELOMETRIC TURBIDITY UNITS,2020-02-27,81.0,-4.175209091958923,50.9673936431822
32,https://environment.data.gov.uk/water-quality/sampling-point/SW-72923039/sample/3401879/observation/6396,SW-72923039,COURTMOOR (ND6),252100,111300,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,MISCELLANEOUS DISCHARGES - EMERGENCY DISCHARGES,2020-02-26 11:56:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,6396,Turbidity,23,NEPHELOMETRIC TURBIDITY UNITS,2020-02-26,23.0,-4.10383615930806,50.88221028249996
33,https://environment.data.gov.uk/water-quality/sampling-point/SW-72923054/sample/3401878/observation/6396,SW-72923054,WEST BEARE(ND5),251100,112100,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,TRADE DISCHARGES - MINERAL WORKINGS,2020-02-26 11:48:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,6396,Turbidity,32,NEPHELOMETRIC TURBIDITY UNITS,2020-02-26,32.0,-4.1183674496397185,50.88914227612686
34,https://environment.data.gov.uk/water-quality/sampling-point/SW-73020127/sample/3400793/observation/6396,SW-73020127,RIVER TAW AT CHAPELTON FOOTBRIDGE,258220,126100,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-05 11:22:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,8.8,NEPHELOMETRIC TURBIDITY UNITS,2020-02-05,8.8,-4.0226637948416455,51.016749030650935
35,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030120/sample/3401466/observation/6396,SW-73030120,RIVER TAW AT TAW BRIDGE,267294,106589,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-14 11:46:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,11,NEPHELOMETRIC TURBIDITY UNITS,2020-02-14,11.0,-3.8862689240641832,50.843562392879285
36,https://environment.data.gov.uk/water-quality/sampling-point/SW-73059999/sample/3401314/observation/6396,SW-73059999,MISCELLANEOUS LITTLE DART CATCHMENT,271976,113167,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,POLLUTION/INVESTIGATION POINTS - ENVIRONMENT,2020-02-11 11:00:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),RIVER / RUNNING SURFACE WATER,6396,Turbidity,26,NEPHELOMETRIC TURBIDITY UNITS,2020-02-11,26.0,-3.822109161989681,50.90374053831458
37,https://environment.data.gov.uk/water-quality/sampling-point/SW-73080442/sample/3401700/observation/6396,SW-73080442,RIVER YEO (BARNSTAPLE) AT COLLARD BRIDGE,259552,135665,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-20 11:22:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,15,NEPHELOMETRIC TURBIDITY UNITS,2020-02-20,15.0,-4.007402215125219,51.10303324695874
38,https://environment.data.gov.uk/water-quality/sampling-point/SW-81231133/sample/3401342/observation/6396,SW-81231133,RIVER TAVY AT DENHAM BRIDGE,247699,67856,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-12 12:19:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.1,NEPHELOMETRIC TURBIDITY UNITS,2020-02-12,2.1,-4.148438148044896,50.49066359566926
39,https://environment.data.gov.uk/water-quality/sampling-point/SW-81241110/sample/3401398/observation/6396,SW-81241110,RIVER WALKHAM AT GRENOFEN BRIDGE,249007,70972,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-13 10:39:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,11,NEPHELOMETRIC TURBIDITY UNITS,2020-02-13,11.0,-4.131272838542394,50.51900520258495
40,https://environment.data.gov.uk/water-quality/sampling-point/SW-81250144/sample/3401399/observation/6396,SW-81250144,RIVER TAMAR AT GUNNISLAKE BRIDGE,243493,72436,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-13 10:12:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,590,NEPHELOMETRIC TURBIDITY UNITS,2020-02-13,590.0,-4.209607768602243,50.53071167919611
41,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271202/sample/3401614/observation/6396,SW-81271202,RIVER THRUSHEL AT TINHAY BRIDGE,239380,85380,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-19 14:05:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,13,NEPHELOMETRIC TURBIDITY UNITS,2020-02-19,13.0,-4.273189696339088,50.645908533262215
42,https://environment.data.gov.uk/water-quality/sampling-point/SW-81271225/sample/3400684/observation/6396,SW-81271225,RIVER THRUSHEL AT STOWFORD BRIDGE,242800,87350,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-02-03 09:57:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,6396,Turbidity,11,NEPHELOMETRIC TURBIDITY UNITS,2020-02-03,11.0,-4.225693050552815,50.66454426805842
